author,date,story,comment,sentiment,sentiment_score
ixtli,2015-08-03T21:14:47Z,Ask HN: Who is hiring? (August 2015),"Rising Tide Games | Madison Avenue, New York, New York | On Site | Full Time<p>We make social casino games on ios&#x2F;android and in the browser using WebGL. We&#x27;re a relatively small team (~10 developers) across a range of projects and disciplines and we&#x27;re looking to hire engineers with ",neutral,0.0
twohey,2015-08-03T21:03:36Z,Ask HN: Who is hiring? (August 2015),"ClassPass | Senior Engineers | New York City, NY or San Francisco, CA | Full Time | ONSITE, Visa OK<p>ABOUT US
At ClassPass, our mission is to help people stay active and live happy. We have disrupted the traditional fitness membership model and offered people a new way to work out and experience fi",positive,0.881
bitJericho,2015-08-03T20:58:51Z,"Ask HN: $8k on AWS in August for you, any interesting computations?",Be careful the AWS police will get you.,positive,0.153
jbleich,2015-08-03T20:53:56Z,Ask HN: Who is hiring? (August 2015),"CLVmetrics |Lead Full Stack Engineer - First Employee | Philadelphia, PA w&#x2F; NYC early 2016 | Onsite or Remote<p>CLVmetrics (<a href=""http:&#x2F;&#x2F;www.clvmetrics.com"" rel=""nofollow"">http:&#x2F;&#x2F;www.clvmetrics.com</a>) is a technology company with a simple but important belief: companies",positive,0.296
claudiac,2015-08-03T20:51:39Z,Ask HN: Who is hiring? (August 2015),Lead DevOps Engineer | Clarifai | Deep Learning Technology | ONSITE<p>Clarifai was founded in 2013 by Matthew Zeiler to bring the world’s best image recognition technology to market. Our expertise in deep neural networks helped us achieve the world’s best published image labeling results [ImageNet 2,positive,0.856
itrademrkts,2015-08-03T20:33:41Z,Ask HN: Who is hiring? (August 2015),"Los Angeles&#x2F;Culver City,CA ONSITE<p>Cloud Architect - Amazon Web Services<p>(mt) Media Temple <a href=""http:&#x2F;&#x2F;mediatemple.net"" rel=""nofollow"">http:&#x2F;&#x2F;mediatemple.net</a> : Since 1998 we&#x27;ve offered premium web hosting and cloud services for digital agencies, busnesses, co",positive,0.178
bwater,2015-08-03T20:31:58Z,Ask HN: Who is hiring? (August 2015),"Bridgewater Associates | Westport, CT | Onsite technology roles <a href=""http:&#x2F;&#x2F;tinyurl.com&#x2F;pofvg4e"" rel=""nofollow"">http:&#x2F;&#x2F;tinyurl.com&#x2F;pofvg4e</a>
We are currently hiring technologists across the company to help on a variety of initiatives.  We are developing an infrast",positive,0.402
gregarious,2015-08-03T20:27:34Z,Ask HN: Who is hiring? (August 2015),"Chute (YC W2012) - <a href=""http:&#x2F;&#x2F;getchute.com"" rel=""nofollow"">http:&#x2F;&#x2F;getchute.com</a> - San Francisco, CA or [REMOTE] (US time zones)<p>We&#x27;re hiring engineers to build our marketing technology platform that is used by Coke, Condé Nast, Starbucks, Benefit, Vogue, ESPN, NBC,",positive,0.459
cyngn-recruit,2015-08-03T20:26:35Z,Ask HN: Who is hiring? (August 2015),"CYANOGEN | Seattle, WA and Palo Alto, CA | Onsite Only | Relocation Assistance | Full Time | Visa<p>Cyanogen Inc was founded to make our popular open source CyanogenMod project accessible to a broader consumer base worldwide in the form of Cyanogen OS, a mobile OS built on Android that is known for ",positive,0.421
zpallin,2015-08-03T20:26:13Z,Ask HN: Who is hiring? (August 2015),"Outward Inc, San Jose CA<p>Looking for a DevOps oriented System Administrator who is familiar with configuration management and automated deployment, especially using tools like Chef, Vagrant, AWS. You will become a key player in how the company scales and contribute to the leadership of our company",positive,0.414
git-pull,2015-08-03T20:18:55Z,Ask HN: Who wants to be hired? (August 2015),"Location: Chicago<p>Remote: Yes<p>Relocation: Not at the moment<p>Technologies: Python, Django, Flask, Node, Express &#x2F; Sails, PHP, Backbone, React, CSS, Linux, FreeBSD, Bootstrap, Material-UI, MySQL, Postgres, Stripe, AWS (EC2, S3, EBS), Fabric, Saltstack<p>Github: <a href=""https:&#x2F;&#x2F;gi",neutral,0.0
playing_colours,2015-08-03T20:16:56Z,Ask HN: Who is hiring? (August 2015),"relayr - <a href=""https:&#x2F;&#x2F;www.relayr.io"" rel=""nofollow"">https:&#x2F;&#x2F;www.relayr.io</a> - Berlin, Germany - DevOps Engineer
You will be an integral part of the server team, improving stability, performance and keeping the developers in line.<p>The Mission<p><pre><code>    - Help build ",positive,0.67
stevebmark,2015-08-03T20:08:44Z,"Ask HN: $8k on AWS in August for you, any interesting computations?","I just joined AWS to move some domains over from another host, specifically one site I&#x27;m trying to turn into a startup. I set up RDS  thinking that &quot;pay what you use&quot; would mean I would have no bill since the site has no traffic yet. Turns out spinning up an idle &quot;production&quot",negative,-0.527
laurenallanson,2015-08-03T20:02:46Z,Ask HN: Who is hiring? (August 2015),"Greenhouse Software | NYC | Onsite&#x2F;Full time<p>Greenhouse is helping companies get better at recruiting. Founded in 2012, we have grown to more than 100 employees and have more than 600 customers, some of which are the best known tech brands in industry. Our customers love Greenhouse: <a href=""",positive,0.926
deadmik3,2015-08-03T19:48:19Z,"Ask HN: $8k on AWS in August for you, any interesting computations?","Yes, if he bought $8,000 in AWS credits then he can use it as he wants, but I doubt this kind soul is trying to just throw out $8k.<p>This is very very likely promotional credit. They hand it out like candy.<p>Edit: Okay, I can see that if his approach is to use it on his own account, but for someon",positive,0.962
nostrademons,2015-08-03T19:47:01Z,The Web We Have to Save,"Also virtualization - VMWare started out as the dominant player, but then Xen came out, which first led to AWS becoming dominant but now results in a number of cloud hosting and VPS providers, many of which are more cost-effective than AWS.<p>And PCs - it started out as a decentralized market betwee",positive,0.115
meakr1900,2015-08-03T19:46:41Z,Ask HN: Who is hiring? (August 2015),"Instructure - Chicago, IL &amp; Salt Lake City, UT - Software Developer<p>About Instructure: We make software that makes people smarter, including Canvas (<a href=""http:&#x2F;&#x2F;github.com&#x2F;instructure&#x2F;canvas-lms"" rel=""nofollow"">http:&#x2F;&#x2F;github.com&#x2F;instructure&#x2F;canvas-lm",positive,0.459
eudoxus,2015-08-03T19:39:27Z,"Ask HN: $8k on AWS in August for you, any interesting computations?",You can certainly mine various altcoins that are still GPU mining based and see some return on it for 8K. Although AWS GPUs aren&#x27;t that good at mining in general.,positive,0.649
deadmik3,2015-08-03T19:33:28Z,"Ask HN: $8k on AWS in August for you, any interesting computations?","&gt; You may not sell, license, rent, or otherwise transfer Promotional Credit. Promotional Credit may be applied only to your AWS account, and may not be applied to any other account.<p>Seems pretty clear to me...",positive,0.875
mgutten,2015-08-03T19:26:44Z,Ask HN: Who is hiring? (August 2015),"HealthRight | San Francisco, CA | Full Time ONSITE<p>We&#x27;re a growing team of passionate and highly ambitious people with a data-driven eHealth platform built to deliver customized solutions and beautiful health experiences to our users.  We&#x27;ve recently merged a successful b2c doctor&#x27;s",positive,0.951
