author,date,story,comment,sentiment,sentiment_score
masswerk,2015-08-03T19:27:55Z,JavaScript is the C++ of the Web,"JS used to be a language that was easy to understand. Once you grasped the concept of how object references and scopes were handled (which everyone could who invested a few days in understanding the language and read the specs), you were able to understand any of the user-land implementations. Now t",positive,0.44
paulhauggis,2015-08-03T18:46:31Z,Ask HN: Programmer Unions?,"&quot;The hubris you have in saying this is farcicial. The fact is that you as an individual do not have the skills to out-negotiate this leviathan.&quot;<p>How so?  I own my own business now (multiple, actually). But when I didn&#x27;t, I easily negotiated my rates.  How?  I commanded a certain sal",positive,0.728
obrero,2015-08-03T18:16:53Z,Ask HN: Programmer Unions?,"&gt; Unions are generally for people that...Don&#x27;t have good negotiating skills<p>Wow, it&#x27;s amazing that you have <i>such incredible negotiating skills</i> that you can beat out a Fortune 500 companies human resources department, their outside lawyers that make you sign an employment and te",positive,0.772
xienze,2015-08-03T16:01:03Z,How I Gave Up Alternating Current,"&gt; You haven&#x27;t done anything but say &quot;okay let&#x27;s see my most carbon producing areas are,&quot; and your only solutions are &quot;let&#x27;s see if someone else can help me reduce my carbon by taking the responsibility off of my own shoulders&quot;<p>Well, in a sense I can understand",positive,0.681
bcg1,2015-08-03T15:31:42Z,"If we stand still, we go backwards","I agree with all of the points in this article.  Even if you believe that PPK is 100% right about the &quot;problem&quot;, I truly can&#x27;t grok the notion that a moratorium would somehow &quot;solve&quot; anything.  From my observation, when standards are actually under development and look like ",positive,0.784
bmelton,2015-08-03T03:32:51Z,Ronda Rousey fights like a statistical outlier,"As much as I am defending the notion that Rousey could beat a man with which she had a good matchup, the assertion that she could beat a top male champion is indeed far-fetched.<p>As has been mentioned all over this thread, sexual dimorphism is a real thing, and not just something men made up to rep",positive,0.823
dredmorbius,2015-08-03T01:22:43Z,"Race is an illusion: a very powerful one, often fatally so","Steve S eloquently addresses the fallacies inherent in the anti-anti-racism argument. The piece&#x27;s own introduction is its own best lede:<p><i>You said I&#x27;ve been ignoring class, which is demonstrably false, but in your effort to focus almost _exclusively_ on class, it seems to me that you&#",neutral,0.0
bmelton,2015-08-02T22:30:08Z,Ronda Rousey fights like a statistical outlier,"To be fair, there are still people Royce Gracie could beat in UFC.  Not everybody has mastered BJJ defenses, and it isn&#x27;t a &quot;solved&quot; problem set.<p>Matt Hughes was one of the best in the world, and much more in his prime than Gracie for that fight, and also a student of BJJ.<p>Yes, me",positive,0.44
lordnacho,2015-08-02T20:23:13Z,Europe's Waiting Room,"The whole notion of sovereignty in its current form is an accident of European history. The borders of the world can&#x27;t be said to be much other than arbitrary, for huge pieces of it.<p>Seen another way, you could remove the citizenship of people who went negative. Then you&#x27;d be rid of your",negative,-0.67
thetwiceler,2015-08-02T20:10:25Z,The Banach–Tarski Paradox [video],"It seems misleading to say that intuitionistic logic assigns statements to one of the two values, True or False. There&#x27;s no symmetry between the notions of truth and falsity as there is in boolean logic.<p>You need to be very, very careful when talking about the size of the constructive reals. ",positive,0.621
