author,date,story,comment
OpenX,2015-08-03T21:06:10Z,Ask HN: Who is hiring? (August 2015),"OpenX | Pasadena, CA | Menlo Park, CA | West Los Angeles, CA (coming soon)<p>OpenX is a leading provider of digital and mobile advertising technology. Do you like scale? How about Big Data?<p>Our Real-Time Bidding platform serves hundreds of thousands of requests per second from thousands of servers"
jayhuang,2015-08-03T20:27:08Z,Ask HN: Who wants to be hired? (August 2015),"Location: Vancouver, Canada<p>Remote: Yes<p>Willing to relocate: Yes<p>Technologies: HTML(5), CSS(3), Javascript (jQuery, Backbone.js, Angular.js), LESS&#x2F;SASS, Git&#x2F;SVN, Bower, Grunt, Protractor&#x2F;Selenium, PHP (CakePHP, CodeIgniter, SlimPHP), Java, RESTful APIs, MongoDB, MySQL, MSSQL, Or"
michaelwww,2015-08-03T19:00:56Z,Open Letter to Microsoft’s CEO: Don’t Roll Back the Clock on Choice and Control,"&gt; That&#x27;s me disliking a set of bad arguments, not me disliking Dart.<p>I stand corrected. Yes, I&#x27;ve read all the memos and watched all the videos, including this one when I knew Dart wasn&#x27;t going to make it into Chrome for the first time. I knew it by Blink engineering lead Darin F"
arca_vorago,2015-08-03T17:11:52Z,Autodesk Stingray Game Engine,"Thanks but no thanks Autodesk. Why do I feel like Autodesk is starting to take it&#x27;s cues from Oracle?<p>I&#x27;ve been working on a side project in Unreal Engine 4, which is amazing, but you&#x27;ll notice that the majority of Epic devs work in Maya. Autodesk realized there was opportunity to m"
greggyb,2015-08-03T16:26:00Z,Postgres Guide,"This looks nice, and I look forward to taking the time to read through it more thoroughly, but one thing that jumped out to me from the navigation bar is the location of &#x27;Window Functions&#x27; under &#x27;Postgres Specific Tips&#x27;.<p>Window functions are part of the SQL standard, and certai"
capkutay,2015-08-03T16:00:54Z,Ask HN: Who is hiring? (August 2015),"WebAction | Downtown Palo Alto, CA | Big Data Platform Engineer (Java), UI Engineer (HTML&#x2F;CSS&#x2F;JS&#x2F;Backbone), UI&#x2F;UX Designer - ONSITE<p>jobs@webaction.com<p>WebAction is a Big Data Analytics Platform providing end-to-end real-time, high velocity analytics and machine learning for o"
mmayerhofer,2015-08-03T15:20:34Z,Ask HN: Who is hiring? (August 2015),"Digital River — Vienna, Austria, (On-Site, VISA, Full-time)<p>We are creating a microtransaction platform primarily focused on providing payment solutions for video games. We&#x27;re a small team of 15 people from all over the world (Austria, Brazil, Nigeria, India, Italy, Spain, Ukraine). We can as"
jamieiles,2015-08-03T15:03:15Z,Ask HN: Who is hiring? (August 2015),"Full-time, remote within US<p>Ksplice is the leading technology that allows administrators to patch the kernel on the fly with zero downtime and zero disruption.  We&#x27;re a distributed team of engineers forming part of the Linux and Virtualization group at Oracle with a passion for working on exc"
mkozlows,2015-08-03T14:23:02Z,The Unemployable Programmer,"Three points to that:<p>1. This differs more from workplace to workplace than industry to industry. Many dev workplaces will give developers a week or two of official &quot;training time.&quot; Many other industries have workplaces that don&#x27;t do that.<p>2. The reality is, training on new techno"
keyboardwarrior,2015-08-03T12:31:57Z,The Unemployable Programmer,"Who says anything about freelance work. People think experience = programming + being paid.<p>experience = programming
if you can show a active github profile with clean code that shows you are pro-active or a expert in stack or domain, why would &quot;they&quot; not atleast contact you back.<p>on t"
