author,date,story,comment
deathanatos,2015-05-16T21:25:06Z,Rain simulator for pluviophiles,"Oh man, as a southerner stuck in California, I cannot tell you how much I miss rain. And especially thunderstorms[1].<p>(if you want a few recommendations) I love how the drops wipe away the moisture on the &quot;window&quot;; in my experience the droplets won&#x27;t fall perfectly straight: they ge"
tremendo,2015-03-30T20:11:41Z,Ask HN: Who are your favorite poets?,"Gustavo Adolfo Becquer, about poetry itself (sorry, Spanish is my language, still wanted to share):<p>No digáis que agotado su tesoro, 
de asuntos falta enmudeció la lira:
podrá no haber poetas, pero siempre 
habrá poesía.<p>Mientras las ondas de la luz al beso 
palpiten encendidas,
mientras el sol "
HillRat,2015-03-27T14:31:55Z,Beyond the Maquiladora: A Look at Mexico’s Startup Scene,"I love Guadalajara -- one of my favorite cities to do business in, though it&#x27;s not really a tourist-friendly city, unless you want to day-trip to Tequila or the Primavera Forest. I agree that it feels like it&#x27;s ready to go big, kind of like Shenzhen in the &#x27;90s, and the tech community"
yannis,2009-08-15T19:01:16Z,Ask HN: Other businesses?,"I had and have numerous over the years. I had a successful Contracting business (electro-mechanical) for quite a few years, a Consulting Business in the same field, a Computer School in the days that the masses wanted to learn DOS :), a plastic bags factory. The software business has always been my "
yannis,2009-08-06T02:25:15Z,The (Lost) Art of Software Engineering,I agree the analogy is not right. Firstly I disagree that the Art of Software Engineering has disappeared or gone down or lost. Yes it is continually morphing and yes it has its own problems. I have been involved in both 'construction' worlds for over 20 years and the analogy is misplaced.<p>'We nee
yannis,2009-08-04T17:47:45Z,The World's Biggest Military Boondoggles,"It is as if it is ingrained in the laws of physics that as the size of a project in money increases, so is the likelihood of overruns in time. Naturally the cost overruns would force costs to rise. No amount of planning or management seems to change this.<p>I am currently involved with a Project (co"
BSousa,2013-12-06T07:58:08Z,Portugal's prescribed open standards - full list,"Hi Pedro<p>First of all, I can assure you I have no economic interest whatsoever on this. I spent most of my professional life working around Europe and about a year or so ago I decided to leave Portugal for good. I don&#x27;t use Microsoft technologies and honestly, when I freelance, I avoid workin"
scholia,2013-06-24T12:30:43Z,The Decline and Fall of the English Major,"The Uffizi also has The Birth of Venus and Primavera, the Allegory of Spring, both of which are immortal masterpieces. And quite a few other things...."
curveship,2013-06-02T16:53:48Z,Ask HN: Who is hiring? (June 2013),"Durham, NC<p>Concrete Data is looking for an experienced .NET developer for systems integration and ground-up development projects. This is a full-time contract opportunity expected to last approximately 3-4 months, with a possibility of a longer engagement. Technologies include C#, ASP.NET MVC, CSS"
cons0le,2025-12-11T00:34:19Z,How Google Maps allocates survival across London's restaurants,I&#x27;ll blow your mind. Go in there and get the pasta primavera. It slaps ( to be fair you can make it at home real easy )
evanjrowley,2025-12-05T00:18:30Z,US Congress passed bills to limit CCP influence in K-12 schools,"Specifically in the case of elementary schools:<p><pre><code>  There are also signs of a new approach to influencing elementary and high schools: just buy them.

  This is where the Spring Education Group, a for-profit company buying up private schools across the United States, comes into the pictur"
nluken,2025-07-30T17:34:59Z,'70 MPH e-bikes' prompt one US state to change its laws,"&gt; If I could just throttle it up to 35mph, I wouldn&#x27;t even need bike lanes around town. 45mph, and I could easily get to the next town over.<p>The &quot;higher class&quot; of which you speak has existed for a long time, albeit usually fulfilled by gas powered vehicles until recently: <a href"
mradek,2025-07-06T09:33:24Z,Ask HN: Anyone interested in improving scheduling?,"I should have been clearer about the specific problems I&#x27;m tackling. I’ll try addressing your points.<p>&gt; On domain expertise<p>I&#x27;ve been in the trenches for over a decade since falling in love with Gantt charts, getting my CAPM certificate, and graduating college. First as a project ma"
999900000999,2025-05-07T16:40:59Z,ACE-Step: A step towards music generation foundation model,"&gt;Primavera (Italian pronunciation: [primaˈvɛːra], meaning &quot;Spring&quot;) is a large panel painting in tempera paint by the Italian Renaissance painter Sandro Botticelli made in the late 1470s or early 1480s (datings vary). It has been described as &quot;one of the most written about, and mos"
Telemakhos,2025-05-07T15:20:08Z,ACE-Step: A step towards music generation foundation model,"&gt; Art that can’t even try to offend is barely art.<p>I do not believe that offense is a necessary or sufficient component of art.  If I raise my middle finger at someone, that is not art, but rather offense.  If I view Botticelli&#x27;s Primavera, I&#x27;m looking at art, and I detect no intent t"
0_____0,2025-01-20T23:09:51Z,"YC X25, the spring 2025 batch",<i>El verano</i> is Spanish for <i>summer</i>. <i>Primavera</i> for <i>spring</i>. But I agree it&#x27;s all arbitrary. Could just do the boring thing and say 2025Q[1-4]
santiagobasulto,2024-08-07T00:01:26Z,YC is doing a first ever Fall batch – applications due by 8/27,"Nice! But obligatory calling it Primavera all the time, no cheating!"
dang,2024-08-06T21:06:27Z,YC is doing a first ever Fall batch – applications due by 8/27,That was the first question that came up when Dalton announced this at YC yesterday :)<p>I vote for P because it&#x27;s the second letter of Spring and it goes with <i>printemps</i> and <i>primavera</i>.
throwup238,2024-05-17T01:50:36Z,The United States of Avocado,"<i>&gt; According to the US Department of Agriculture, consumption of avocados in the United States has tripled since 2001, climbing to more than eight pounds per person each year.</i><p>Man, y&#x27;all ain&#x27;t pulling your weight. I easily eat eight pounds of avocados <i>a week</i>. Thank god fo"
vr46,2024-05-08T17:51:56Z,Steve Albini has died,Damn. Glad I got to see Shellac at Primavera a few years ago. What a career. RIP.
