author,date,story,comment
OniBait,2015-07-29T17:18:17Z,Windows 10 Free Upgrade Available in 190 Countries Today,"Yeah. I like it better than the &quot;old&quot; Solitaire, but it can make my tablet crawl (is a Yoga2 Pro core i7). Turning off thermal management in the bios seems to have fixed a lot of the weird speed related issues I got in Win8&#x2F;10 though."
rnbwd,2014-06-25T16:35:57Z,What D3.js is Not,"d3 is very powerful, has an amazing api, and it&#x27;s incredible library. but my processor goes insane running trivial d3 animations (macbook pro core-2-duo 2009). with css 3d, webgl, I don&#x27;t have processor issues, but god-damn the d3 api is one of the best I&#x27;ve ever used for animations"
tostitos1979,2013-12-28T14:24:42Z,Ask HN: What are the specs of your programming computer?,"Macbook Pro (core 2 duo) from a few years ago. 16 GB of RAM to satiate Mavericks, Eclipse and Chrome."
rafamvc,2026-02-03T01:28:33Z,Ask HN: Who is hiring? (February 2026),"Procore | Multiple Engineering Roles (IC + Management) | Austin, TX | Onsite | <a href=""https:&#x2F;&#x2F;careers.procore.com"" rel=""nofollow"">https:&#x2F;&#x2F;careers.procore.com</a><p>Procore (NYSE: PCOR) builds the most widely used construction management platform in the world. Our software conne"
samuelklam,2026-01-10T16:00:52Z,Ask HN: Who is hiring? (January 2026),"PermitFlow (YC W22) | Staff, Fullstack &amp; Frontend Software Engineers | New York, NY | ONSITE | Full-time | <a href=""https:&#x2F;&#x2F;permitflow.com"">https:&#x2F;&#x2F;permitflow.com</a><p>PermitFlow’s mission is to streamline and simplify construction permitting in the $1.6 trillion United Stat"
OxfordOutlander,2025-12-15T09:43:02Z,AI agents are starting to eat SaaS,"I agree about boutique software, but see the development still being external -<p>To attempt to summarize the debate, there seems to be three prevailing schools of thought:<p>1. Status Quo + AI. SaaS companies will adopt AI and not lose share. Everyone keeps paying for the same SaaS plus a few bells"
aakashprasad91,2025-12-10T23:05:35Z,Launch HN: InspectMind (YC W24) – AI agent for reviewing construction drawings,"Yes today users simply gather the sheets for whatever phase they want reviewed (DD, 80% CDs, 100% CDs, etc.), ZIP them or upload PDFs directly, and the system handles the rest. It auto-detects disciplines, reconstructs callout graphs, and runs checks across the full set. We&#x27;re also adding integ"
aakashprasad91,2025-12-10T22:05:59Z,Launch HN: InspectMind (YC W24) – AI agent for reviewing construction drawings,"Today the workflow is simple: users just drag-and-drop the full drawing&#x2F;spec set (ZIP or PDFs) for whatever phase they want reviewed. The system automatically splits sheets by discipline, reconstructs callout relationships, and runs the checks. We’ll be adding integrations with ACC&#x2F;Procore"
quickthrowman,2025-10-15T23:01:27Z,I Hate Acrobat,"My company provides me with the top tier license for Bluebeam Revu, an amazing PDF editor geared towards the construction industry. It handles everything you can think of flawlessly, it can extract PDF tables into Excel spreadsheets, markups of all kinds, measuring, counting, resizing; adding, remov"
samuelklam,2025-10-11T11:26:00Z,Ask HN: Who is hiring? (October 2025),"PermitFlow (YC W22) | Staff, Fullstack &amp; Frontend Software Engineers | New York, NY | ONSITE | Full-time | <a href=""https:&#x2F;&#x2F;permitflow.com"">https:&#x2F;&#x2F;permitflow.com</a><p>PermitFlow’s mission is to streamline and simplify construction permitting in the $1.6 trillion United Stat"
quickthrowman,2025-09-26T21:23:49Z,Birmingham city council delays fix to disastrous Oracle system once more,"Can you really inflate a software contract by 10x and get away with it? I’m in the wrong line of business, my customers would immediately fire me if I tried that. Who is the project manager&#x2F;contract administrator that is just OKing the change orders? Grow a backbone and say ‘You were already aw"
claudiac,2015-08-03T20:51:39Z,Ask HN: Who is hiring? (August 2015),Lead DevOps Engineer | Clarifai | Deep Learning Technology | ONSITE<p>Clarifai was founded in 2013 by Matthew Zeiler to bring the world’s best image recognition technology to market. Our expertise in deep neural networks helped us achieve the world’s best published image labeling results [ImageNet 2
hga,2015-08-03T14:16:59Z,Defending the One Percent,"Actually, Republicans can be quite willing to cut the military, remember Dwight &quot;military-industrial complex&quot; Eisenhower, under who it was cut after the Korean War wound down, and you could make a case that the current sequester is cutting the budget.  It&#x27;s very very hard to analyze, "
codebeaker,2015-08-03T12:56:33Z,Soylent 2.0,"I also am consistently disappointed by their reliance on wheat and soy proteins, I&#x27;m allergic (IgE) to both and struggle horribly to find typical office-lunch type food I can eat. Also being in the EU it&#x27;s very difficult and expensive to procure Soylent anyway, even the alt. recipes as all"
bitwize,2009-12-16T19:11:03Z,How to destroy the earth,Step 1: Procure an Iludium Q-36 Explosive Space Modulator.<p>Step 2: Make sure there are no meddlesome rabbits on your planet...
Frondo,2015-08-01T06:45:19Z,Warren Buffett’s Family Secretly Funded a Birth Control Revolution,"There&#x27;s lots of man-made things that stop nature from &quot;taking its course,&quot; like condoms or planning around a woman&#x27;s menstrual cycle.  An abortion is just another of those man-made things that stops nature from &quot;taking its course&quot;.  Aaand, it&#x27;s been going on as lon"
mmaunder,2015-08-01T06:34:50Z,The Marines say the F-35 is now ready for combat,"The F-15 Eagle entered service in 1976 (first flew in 72) and will be in service up until 2025. That&#x27;s 49 years. Considering the cost and assuming it works out, 30 years for procurement for the F-35 seems reasonable.<p>The SR71&#x27;s top speed was just over mach 3. The F-15 can reach mach 2.5."
nickpsecurity,2015-08-01T05:27:41Z,The Marines say the F-35 is now ready for combat,"Spiral is waterfall with short iterations and the predecessor to Agile&#x27;s increments. It&#x27;s also not how defense procurements usually work. They get a big contract, divide that into different phases, subdivide each phase&#x27;s work into subcontracts, these might be further subdivided, and t"
jloughry,2015-07-31T19:05:41Z,A College Without Classes,"<p><pre><code>    Unlike MOOCs, which mainly expect students to use resources online to
    complete courses themselves, competency-based programs depend on faculty
    mentors to walk learners through the learning process. It’s almost the
    opposite of the university lecture. Rather than a profes"
panamafrank,2015-07-31T00:34:27Z,The Tiny Team Taking on a Massive Reform of Government IT,"I&#x27;ve heard from people that work in government that the tools they use are allowed to use are restricted by overly complex procurement rules. The result is that non-technical teams are forced to use ancient software as anything else (even if it&#x27;s opensource) isn&#x27;t kosher.
How could th"
