author,date,story,comment
eslaught,2015-08-03T21:27:19Z,LLVM for Grad Students,"The issue is not having the type info available. AOT compilers certainly have that (or at least, enough of it to get the job done).<p>The issue is that most compilers with precise GC---AOT or otherwise---are built around that assumption from the very beginning. Therefore, they choose representations"
pjungwir,2015-08-03T21:18:57Z,Ask HN: Freelancer? Seeking freelancer? (August 2015),"SEEKING WORK - Portland, OR or Remote<p>I&#x27;m a polygot, full-stack developer with 15 years experience. My specialties are Rails, Postgres, Chef, and Ember, although I&#x27;ve also done some iOS and Python Machine Learning&#x2F;Statistics projects. I am reliable, easy to work with, quick to turn "
fish2000,2015-08-03T21:14:42Z,LLVM for Grad Students,"This is indeed a great intro article.<p>For those interested in seeing examples of LLVM hacking in action, I would recommend reading the source for Halide – <a href=""https:&#x2F;&#x2F;github.com&#x2F;halide&#x2F;Halide"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;halide&#x2F;Halide</a> – which "
simonw,2009-12-16T23:15:38Z,"John Resig - Testing, Performance Analysis, and jQuery 1.4","Here's the jQuery branch he talks about with the new jQuery.require() asynchronous code loading function:<p><a href=""http://github.com/jquery/jquery/tree/omgrequire/src/"" rel=""nofollow"">http://github.com/jquery/jquery/tree/omgrequire/src/</a><p>And here's a direct link to the function itself:<p><a h"
gregarious,2015-08-03T20:27:34Z,Ask HN: Who is hiring? (August 2015),"Chute (YC W2012) - <a href=""http:&#x2F;&#x2F;getchute.com"" rel=""nofollow"">http:&#x2F;&#x2F;getchute.com</a> - San Francisco, CA or [REMOTE] (US time zones)<p>We&#x27;re hiring engineers to build our marketing technology platform that is used by Coke, Condé Nast, Starbucks, Benefit, Vogue, ESPN, NBC,"
lynndylanhurley,2015-08-03T20:23:07Z,Modern ClojureScript,"How is there no mention of Om[1] or Reagent[2]?<p>[1] <a href=""https:&#x2F;&#x2F;github.com&#x2F;omcljs&#x2F;om"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;omcljs&#x2F;om</a>
[2] <a href=""https:&#x2F;&#x2F;github.com&#x2F;reagent-project&#x2F;reagent"" rel=""nofollow"">https:&#x2F;&#x2F;github.co"
s73v3r,2015-08-03T20:19:07Z,The Unemployable Programmer,"&quot;if you can show a active github profile with clean code that shows you are pro-active or a expert in stack or domain, why would &quot;they&quot; not atleast contact you back.&quot;<p>Because you&#x27;re older, or a minority, or female..."
git-pull,2015-08-03T20:18:55Z,Ask HN: Who wants to be hired? (August 2015),"Location: Chicago<p>Remote: Yes<p>Relocation: Not at the moment<p>Technologies: Python, Django, Flask, Node, Express &#x2F; Sails, PHP, Backbone, React, CSS, Linux, FreeBSD, Bootstrap, Material-UI, MySQL, Postgres, Stripe, AWS (EC2, S3, EBS), Fabric, Saltstack<p>Github: <a href=""https:&#x2F;&#x2F;gi"
nbadg,2015-08-03T20:06:06Z,The Web We Have to Save,"That effectively implement storage+sharing+identity? Not that I&#x27;m aware of, which is why I&#x27;m working on one (<a href=""https:&#x2F;&#x2F;github.com&#x2F;Muterra&#x2F;doc-muse"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;Muterra&#x2F;doc-muse</a>). Plenty of things try and tackle one or"
martanne,2015-08-03T20:05:39Z,Vim: Takeaways from One Year of Typing,"I too find kakoune interesting and have recently begun to add multiple cursor&#x2F;selection support to my vim like editor.<p><a href=""https:&#x2F;&#x2F;github.com&#x2F;martanne&#x2F;vis"" rel=""nofollow"">https:&#x2F;&#x2F;github.com&#x2F;martanne&#x2F;vis</a>"
subrat_rout,2015-08-03T20:02:17Z,Ask HN: Who wants to be hired? (August 2015),"Location: San Francisco Bay Area
Remote: Yes
Willing to relocate: Only San Francisco Bay Area
Technologies: HTML, CSS,JavaScript, Ruby on Rails, MySQL, PostgreSQL and Angular.js.
Resume: subratrout.com
Github:subratarout<p>Self taught, passionate about programming, web development especially full st"
yousifa,2015-08-03T19:48:38Z,Ask HN: Who is hiring? (August 2015),"AquaCloud is looking for a Full Stack Web Engineer in San Francisco!<p>We help municipalities and aquaculture farms protect the world’s most valuable asset - water. We extract actionable insights in real-time by analyzing water quality data, helping our customers deliver safe water for drinking and "
meakr1900,2015-08-03T19:46:41Z,Ask HN: Who is hiring? (August 2015),"Instructure - Chicago, IL &amp; Salt Lake City, UT - Software Developer<p>About Instructure: We make software that makes people smarter, including Canvas (<a href=""http:&#x2F;&#x2F;github.com&#x2F;instructure&#x2F;canvas-lms"" rel=""nofollow"">http:&#x2F;&#x2F;github.com&#x2F;instructure&#x2F;canvas-lm"
metajack,2009-12-16T22:41:34Z,"Jekyll, the blog engine of kings","There is also another Python one called Igor:
<a href=""http://github.com/aconbere/igor"" rel=""nofollow"">http://github.com/aconbere/igor</a>"
bryanvzz,2015-08-03T19:21:58Z,Ask HN: Who wants to be hired? (August 2015),"Location: Monterrey, Mexico<p>Remote: Yes<p>Willing to relocate: Yes, to US, Canada or some Euro-countries<p>Technologies: Python, JavaScript, AJAX, HTML, CSS, Web Development, Full Stack Developer<p>Résumé&#x2F;CV: <a href=""https:&#x2F;&#x2F;mx.linkedin.com&#x2F;in&#x2F;bryanvzz"" rel=""nofollow"">htt"
cinquemb,2015-08-03T19:20:54Z,"Ask HN: $8k on AWS in August for you, any interesting computations?",I&#x27;m working on a tool[0] using LSA [1] to mine the emails from Hacking Team so that people could use it to get more relevant results compared to what wikileaks has available (a lot of stuff to sift through to not know how each message might be related to ones queries outside of just mentioning 
mayoff,2015-08-03T19:16:12Z,Autodesk Stingray Game Engine,"Yeah, that surprised me too, considering that Unreal Engine is free (until you ship) <i>including</i> source code, which is hosted on github (behind a free registration)."
saboot,2015-08-03T19:11:24Z,Why Write Python in Visual Studio?,I&#x27;ve been using PTVS for about two weeks now. Previously I just used Spyder which shipped with the Anaconda distribution.<p>Some things that annoy me:<p>- Reading intellisense python documentation in the mouse over window is really tedious. There is an object window that can display documentati
dylanrw,2015-08-03T19:06:28Z,Ask HN: Freelancer? Seeking freelancer? (August 2015),"SEEKING WORK - Remote (Can visit SF&#x2F;Bay Area&#x2F;Charlotte, NC)<p>I am a Designer (Interaction Design&#x2F;UI&#x2F;UX) and Developer (JS, Swift, Ruby, Obj-C). I typically consult on or perform the following:<p>- Product design - Strategy, best practices, interaction design, ui design, iconogra"
divs1210,2015-08-03T18:51:28Z,RE: What's so cool about Scheme? (2003),"This post had inspired me to write CljOS[1], an Object System in Clojure mainly because I wanted to write a game engine and had freshly arrived from the Java world.<p>It turned out to be extremely straightforward to map objects to closures. Took &lt;100 lines of documented code!<p><pre><code>    obj"
