author,date,story,comment
stevesearer,2015-08-03T21:30:18Z,Show HN: Ceremony – Wedding photos and videos from every guest,"Looks like a nice alternative to using public hashtags on instagram.<p>A couple questions off the top of my head: 1) can you join an event you haven&#x27;t been specifically invited to? 2) my wedding was at a ranch away from cell service, do you need to be connected in order to use Ceremony?"
dimbirol,2015-08-03T20:58:09Z,Twitter’s stock hits record low as takeover rumors heat up,"&gt;[...] Twitter is the acquisition target of two separate companies, possibly Google and Facebook.<p>What&#x27;s Google going to do with Twitter? If you want to comment on a youtube-video you&#x27;ll then have to tweet? But with your real name and with some added characters at the end of your twit"
frooxie,2015-08-03T20:39:44Z,The Web We Have to Save,"&gt; The &quot;book internet&quot; still exists<p>Amanda Palmer recently wrote this about her and Neil Gaiman:<p><i>neil and i, and many other bloggers, have discussed this with more and more worry lately. we used to have blogs, on our websites. we&#x27;d link to them. people read them. LOTS of peop"
gregarious,2015-08-03T20:27:34Z,Ask HN: Who is hiring? (August 2015),"Chute (YC W2012) - <a href=""http:&#x2F;&#x2F;getchute.com"" rel=""nofollow"">http:&#x2F;&#x2F;getchute.com</a> - San Francisco, CA or [REMOTE] (US time zones)<p>We&#x27;re hiring engineers to build our marketing technology platform that is used by Coke, Condé Nast, Starbucks, Benefit, Vogue, ESPN, NBC,"
akrymski,2015-08-03T20:10:06Z,Twitter’s stock falls toward IPO-level prices,"Twitter&#x27;s valuation is down to $19B, which is what Facebook paid for WhatsApp.  I wouldn&#x27;t be surprised if Facebook would make a bid for Twitter at this price, even though FB+Insta combo seems to be killing them.<p>I can&#x27;t believe Twitter&#x27;s product people are so asleep at the whe"
volaski,2015-08-03T20:05:07Z,Twitter’s stock falls toward IPO-level prices,question: do these same people have hard time grasping what &quot;follow&quot; means on Instagram? or Tumblr? or Pinterest?
dimbirol,2015-08-03T19:30:27Z,Twitter’s stock falls toward IPO-level prices,"One thing I&#x27;ve noticed with celebrity accounts: an increasing amount of tweets is just a link to a new instagram post.<p>A tweet gets maybe a few likes and retweets, but the linked instagram post has 500 likes &amp; 25 comments within 30 minutes. That&#x27;s quite alarming!<p>e.g: <a href=""http"
AJ007,2015-08-03T18:58:43Z,Twitter’s stock falls toward IPO-level prices,"One plausible risk scenario is, under pressure, they try make significant changes without incremental testing.<p>I don&#x27;t see a good alternative channel to Twitter right now. Facebook certainly isn&#x27;t it. Instagram definitely sliced out some of Twitter&#x27;s market, but can&#x27;t do the sa"
TheOtherHobbes,2015-08-03T12:44:23Z,The Web We Have to Save,"There&#x27;s no such thing as people. There are demographics, and they all have different interests.<p>I think it&#x27;s clear there&#x27;s a huge demographic with no interest in anything beyond celebrity trivia.<p>There&#x27;s also a HN demographic, and there may even be some overlap (probably not "
jcfrei,2015-08-03T09:55:23Z,Ask HN: Do you think there will be a full replacement to Google?,"I agree. Only speaking about the search engine I could imagine that in the future Google will still  remain the dominant search engine. But search engines will be used less and less. Instead most people will use native apps and their respective search engines (facebook to search people, instagram to"
mkawia,2015-08-03T08:52:31Z,"Inside the sad, expensive failure of Google+","As a social network it has failed , But as an Identify Platform it&#x27;s really good . My g+ profile while doesn&#x27;t have many posts like facebook&#x2F;twitter or instagram but has the most data ,my search history,my app downloads,youtube browse history, knows my phone ,my number ,All the places"
